oder,Days,Gain,Price,Right
1,2500,9.89,4.46,0.82
2,2550,9.79,6.5,0.82
3,2600,8.41,4.45,0.81
4,2650,6.63,3.87,0.82
5,2400,6.28,1.22,0.82
6,2450,6.24,1.55,0.81
7,2150,5.76,1.19,0.8
8,2350,5.64,0.9,0.81
9,2050,4.96,1.49,0.81
10,2700,4.59,3.57,0.83
11,2100,4.57,1.08,0.79
12,2300,4.39,0.35,0.8
13,2250,4.34,0.36,0.78
14,600,4.28,1.89,0.83
15,2750,4.25,3.29,0.83
16,550,4.18,1.81,0.82
17,2200,4.02,0.5,0.77
18,2000,3.91,2.39,0.82
19,1050,3.3,1.26,0.78
20,1950,3.26,2.01,0.83
21,650,3.24,1.55,0.79
22,700,3.21,2.05,0.8
23,2800,3.07,2.02,0.84
24,1100,3.04,1.32,0.77
25,500,2.98,1.18,0.81
26,1900,2.67,1.2,0.82
27,750,2.63,1.72,0.78
28,3450,2.61,1.07,0.79
29,1000,2.58,1.01,0.78
30,2850,2.58,1.69,0.83
31,3700,2.39,1.28,0.83
32,800,2.36,1.52,0.79
33,2900,2.31,1.86,0.83
34,3650,2.31,1.07,0.84
35,3500,2.28,1.13,0.81
36,950,2.27,0.85,0.77
37,450,2.22,1.11,0.82
38,1150,2.21,0.88,0.74
39,850,2.17,1.22,0.76
40,400,2.13,0.97,0.81
41,900,2.13,0.93,0.77
42,2950,2.09,1.6,0.81
43,1200,2.06,1.11,0.73
44,1250,2.05,1.27,0.73
45,350,2.02,1.24,0.81
46,4950,2.01,1.17,0.81
47,3600,1.96,0.89,0.81
48,1700,1.93,0.93,0.77
49,1800,1.93,0.89,0.8
50,3400,1.92,0.72,0.77
51,1550,1.85,0.8,0.75
52,1600,1.84,0.8,0.75
53,3000,1.84,1.3,0.8
54,3300,1.82,0.71,0.77
55,3800,1.82,0.99,0.81
56,1850,1.81,0.85,0.8
57,3850,1.8,0.91,0.8
58,1650,1.76,0.74,0.76
59,3550,1.76,0.77,0.8
60,3250,1.74,0.75,0.78
61,3750,1.74,0.94,0.83
62,3050,1.73,0.98,0.79
63,1500,1.71,0.93,0.74
64,3350,1.69,0.74,0.76
65,1750,1.67,0.69,0.78
66,3900,1.66,0.85,0.8
67,1300,1.64,1,0.71
68,1450,1.64,0.93,0.74
69,3100,1.59,0.91,0.77
70,300,1.57,1.01,0.79
71,4900,1.56,1.11,0.8
72,150,1.54,1.03,0.81
73,200,1.53,1.02,0.81
74,4750,1.52,1.02,0.8
75,4800,1.51,1.03,0.81
76,100,1.48,1.05,0.78
77,4650,1.46,1.06,0.78
78,4700,1.46,0.98,0.78
79,50,1.43,1.03,0.77
80,4550,1.43,0.25,0.78
81,250,1.42,0.96,0.8
82,4850,1.42,1.01,0.79
83,3950,1.4,0.81,0.8
84,4600,1.4,0.91,0.77
85,0,1.39,0.91,0.77
86,1400,1.36,0.67,0.71
87,3150,1.36,0.62,0.77
88,3200,1.36,0.63,0.77
89,1350,1.32,0.73,0.71
90,4500,1.29,0.23,0.77
91,4100,1.26,0.64,0.82
92,4050,1.25,0.77,0.81
93,4450,1.25,0.21,0.77
94,4250,1.24,0.77,0.79
95,4000,1.23,0.71,0.82
96,4150,1.22,0.84,0.8
97,4300,1.22,0.21,0.77
98,4400,1.22,0.22,0.75
99,4200,1.19,0.81,0.79
100,4350,1.19,0.19,0.77
